ad_channel,ad_account_id,ad_plan_id,api,apk,user_id,signup,good,ever_good
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541598821,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541469038,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,oppo,541568668,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541547836,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,qq,541571130,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541523321,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541583699,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541548967,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,xiaomi,511709177,1,0,1
Douyin,1730062108658695,1741857354989603,douyin-aidekangsai-07,vivo,541580536,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,vivo,541595136,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,vivo,541556035,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,huawei,541491702,1,1,1
Douyin,1730062108658695,1742736696446043,douyin-aidekangsai-07,qq,541543336,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541577221,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541543509,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541606666,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541573507,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541468453,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541575088,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541567338,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,xiaomi,541478950,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541465493,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541564136,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541507028,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541599985,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541526091,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541570107,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541579052,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541555881,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,oppo,541541807,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541605092,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541603453,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541549961,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541566898,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541544227,1,1,1
Douyin,1730062108658695,1738383957681204,douyin-aidekangsai-07,vivo,541594152,1,1,1
Douyin,1730062108658695,1738383957681204,douyin-aidekangsai-07,huawei,541600184,1,1,1
Douyin,1730062108658695,1743201498812520,douyin-aidekangsai-07,xiaomi,541574815,1,0,0
Douyin,1730062108658695,1738383957681204,douyin-aidekangsai-07,vivo,541551052,1,1,1
Douyin,1730062108658695,1742643038025736,douyin-aidekangsai-07,huawei,541546912,1,1,1
Douyin,1730062108658695,1740586832473144,douyin-aidekangsai-07,huawei,541599695,1,1,1
Douyin,1730062108658695,1740586832473144,douyin-aidekangsai-07,huawei,541574056,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541574018,1,0,0
Douyin,1730062108658695,1738383957681204,douyin-aidekangsai-07,huawei,541527510,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,huawei,541607101,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,vivo,541521420,1,1,1
